Symbol,Price,Type,Time
DOLF20,4065.0,BID,09:02:30.267806
DOLF20,4066.0,ASK,09:02:30.269137
DOLF20,4066.0,BID,09:02:31.9760
DOLF20,4065.0,BID,09:02:31.9891
DOLF20,4067.0,BID,09:02:31.14195
DOLF20,4067.0,ASK,09:02:31.660062
DOLF20,4065.0,BID,09:02:31.660651
DOLF20,4066.0,ASK,09:02:31.663049
DOLF20,4066.0,BID,09:02:32.150056
DOLF20,4067.0,ASK,09:02:32.464202
DOLF20,4065.0,BID,09:02:32.464239
DOLF20,4066.0,BID,09:02:32.464834
DOLF20,4067.0,BID,09:02:35.21494
DOLF20,4066.0,BID,09:02:35.21719
DOLF20,4067.0,BID,09:02:36.68339
DOLF20,4066.0,BID,09:02:36.68564
DOLF20,4067.0,BID,09:02:37.111889
DOLF20,4066.0,BID,09:02:37.349130
DOLF20,4067.0,BID,09:02:37.467954
DOLF20,4066.0,BID,09:02:37.573087
DOLF20,4066.0,ASK,09:02:38.156562
DOLF20,4067.0,ASK,09:02:38.156697
DOLF20,4066.0,ASK,09:02:38.162899
DOLF20,4067.0,ASK,09:02:38.163217
DOLF20,4067.0,BID,09:02:39.566493
DOLF20,4066.0,BID,09:02:39.566904
DOLF20,4081.0,BID,09:02:39.814200
DOLF20,4066.0,BID,09:02:39.814423
DOLF20,4064.0,ASK,09:02:41.461168
DOLF20,4065.0,BID,09:02:42.107692
DOLF20,4067.0,ASK,09:02:42.108813
DOLF20,4066.0,ASK,09:02:42.694428
DOLF20,4066.0,BID,09:02:46.539694
DOLF20,4065.0,BID,09:02:46.539923
DOLF20,4067.0,BID,09:02:47.889104
DOLF20,4065.0,BID,09:02:47.889534
DOLF20,4066.0,BID,09:02:49.775053
DOLF20,4065.0,BID,09:02:49.775285
DOLF20,4065.0,ASK,09:02:50.561411
DOLF20,4066.0,ASK,09:02:51.42285
DOLF20,4067.0,BID,09:02:51.939497
DOLF20,4065.0,BID,09:02:51.941168
DOLF20,4066.0,BID,09:02:52.727500
DOLF20,4065.0,BID,09:02:52.727734
DOLF20,4066.0,BID,09:02:52.803508
DOLF20,4065.0,BID,09:02:52.803735
DOLF20,4066.0,BID,09:02:52.805504
DOLF20,4065.0,BID,09:02:52.805635
DOLF20,4066.0,BID,09:02:53.565175
DOLF20,4065.0,BID,09:02:53.565307
DOLF20,4066.0,BID,09:02:53.676507
DOLF20,4065.0,BID,09:02:53.676639
DOLF20,4066.0,BID,09:02:53.698646
DOLF20,4065.0,BID,09:02:53.698872
DOLF20,4066.0,BID,09:02:56.387825
DOLF20,4065.0,BID,09:02:56.388061
DOLF20,4051.0,ASK,09:02:57.404974
DOLF20,4066.0,ASK,09:02:57.405295
DOLF20,4065.0,ASK,09:02:57.407755
DOLF20,4066.0,ASK,09:02:57.408075
DOLF20,4065.0,ASK,09:02:59.718962
DOLF20,4066.0,ASK,09:02:59.719192
DOLF20,4065.0,ASK,09:03:01.110071
DOLF20,4066.0,ASK,09:03:01.110399
DOLF20,4066.0,BID,09:03:03.552506
DOLF20,4065.0,BID,09:03:03.552739
DOLF20,4066.0,BID,09:03:03.679863
DOLF20,4065.0,BID,09:03:03.976412
